pool;campagne;comp_site;site;saison;poid total chair  [mg];poids total coquille [mg];longeur moy [cm];largeur moy [cm];epaisseur moy [cm];poid chair [mg];poid coquille  [mg];met_chaire;Ag;Al;As;Ba;Be;Ca;Cd;Co;Cr;Cu;Fe;Hg;K;Mg;Mn;Mo;Na;Ni;P;Pb;S;Sb;Se;Si;Sn;Sr;Ti;V;Zn;tot;commentaire
VD_H_Met_10;3;VD_H;VD;Hiver;4159.8;4489.2;2.74;1.53;1.06;466.6;346.9;67;0.175;1860.356;13.037;44.695;0.01;11450.941;0.914;2.96;3.976;15.665;5030.622;0.192;2929.544;1455.786;538.895;0.483;1899.387;8.238;10805.667;3.892;7988.836;0.242;4.279;942.13;0.445;61.421;45.334;3.458;80.67;45192.25;OK
VD_H_Met_11;3;VD_H;VD;Hiver;3536;3821;2.63;1.51;1.05;395.2;319.1;68;0.273;1929.967;13.565;49.995;0.026;16328.423;0.813;3.587;4.107;16.389;5501.001;0.268;3061.107;1475.283;770.55;0.568;1904.728;8.016;11920.996;3.667;7787.191;0.1;4.586;1106.977;0.583;75.028;48.415;3.594;78.352;52098.155;OK
VD_H_Met_12;3;VD_H;VD;Hiver;3710.1;4037.6;2.73;1.53;1.12;450.2;392.6;69;0.203;1668.965;11.303;39.643;0.007;24571.002;0.739;2.452;3.499;-0.001;4536.093;0.144;2925.783;1364.846;452.562;0.481;1846.117;7.247;10439.529;3.236;7760.099;0.446;3.998;973.972;0.587;91.761;40.709;3.053;78.417;56826.892;OK
VD_H_Met_13;3;VD_H;VD;Hiver;3749.5;4103.1;2.77;1.55;1.11;448.1;374.6;70;0.24;2024.985;12.924;49.629;0.01;11688.021;0.841;3.42;4.289;15.97;5599.54;0.229;2957.669;1488.154;646.201;0.513;1911.887;8.412;11297.654;3.816;7836.725;0;4.486;1040.261;0.447;57.848;51.112;3.734;78.552;46787.569;OK
VD_H_Met_14;3;VD_H;VD;Hiver;3874.7;4139.4;2.72;1.55;1.06;471.8;347;71;0.255;2428.671;15.582;70.38;0.025;11853.059;0.691;5.626;5.108;16.024;5981.69;0.202;3117.233;1586.101;1387.943;0.618;1865.688;10.023;10873.438;4.741;7525.066;0.32;4.283;1093.703;0.416;73.645;61.008;4.718;87.139;48073.396;OK
VD_H_Met_15;3;VD_H;VD;Hiver;3772;3975.5;2.62;1.51;1.07;430.4;319.4;72;0.213;2079.856;15.126;65.268;0.019;12725.833;0.868;4.306;4.615;14.264;6577.898;0.25;3164.351;1498.548;944.826;0.57;2012.613;9.243;11560.368;4.255;7615.416;0.514;3.76;1043.547;0.346;76.709;53.757;4.133;85.592;49567.064;OK
SP_H_Met_1;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_2;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_3;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_4;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_5;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_6;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_7;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_8;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_9;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_10;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_11;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_12;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_13;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_14;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
SP_H_Met_15;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de préfèvements
