pool;campagne;comp_site;site;saison;poid total chair  [mg];poids total coquille [mg];longeur moy [cm];largeur moy [cm];epaisseur moy [cm];poid chair [mg];poid coquille  [mg];met_coquille ;Ag;Al;As;Ba;Be;Ca;Cd;Co;Cr;Cu;Fe;Hg;K;Mg;Mn;Mo;Na;Ni;P;Pb;S;Sb;Se;Si;Sn;Sr;Ti;V;Zn;tot;commentaire
VD_H_Met_10;3;VD_H;VD;Hiver;4159.8;4489.2;2.74;1.53;1.06;466.6;346.9;51;0.036;388.278;3.462;67.118;0.012;285817.083;0.034;0.401;0.709;2.491;1708.59;0.204;302.659;137.478;78.935;0.071;2249.991;1.071;459.62;0.555;508.061;0.532;0.535;429.374;0.198;1064.056;9.255;0.764;4.645;293236.218;OK
VD_H_Met_11;3;VD_H;VD;Hiver;3536;3821;2.63;1.51;1.05;395.2;319.1;52;0.11;753.88;2.767;53.689;0.012;297106.255;0.039;0.425;1.312;0.471;2270.964;0.305;464.5;269.617;93.618;0.033;2079.529;1.45;603.123;1.563;454.922;0.788;0.391;497.084;0.17;869.342;16.945;1.23;6.132;305550.666;OK
VD_H_Met_12;3;VD_H;VD;Hiver;3710.1;4037.6;2.73;1.53;1.12;450.2;392.6;53;0.102;594.119;2.402;71.322;0.019;300951.546;0.03;0.39;1.063;2.798;1716.401;0.105;392.19;215.36;64.934;0.084;2312.477;1.41;410.226;1.289;330.383;0.187;0.218;622.841;0.089;1148.275;19.801;1.058;5.636;308866.755;OK
VD_H_Met_13;3;VD_H;VD;Hiver;3749.5;4103.1;2.77;1.55;1.11;448.1;374.6;54;0.05;439.879;3.107;65.391;0.01;289770.377;0.031;0.392;0.769;2.43;2203.291;0.258;298.347;159.41;90.212;0.038;2126.668;1.333;659.583;1.072;395.248;0.094;0.807;394.268;0.386;1002.196;10.6;0.835;4.801;297631.883;OK
VD_H_Met_14;3;VD_H;VD;Hiver;3874.7;4139.4;2.72;1.55;1.06;471.8;347;55;0.016;523.17;3.843;75.396;0.015;311076.427;0.056;0.252;0.92;2.606;2314.265;0.164;337.769;171.399;66.382;0.12;2248.002;1.131;660.058;1.027;325.341;0.031;-0.003;532.179;0.166;1109.538;12.341;0.951;4.978;319468.54;OK
VD_H_Met_15;3;VD_H;VD;Hiver;3772;3975.5;2.62;1.51;1.07;430.4;319.4;56;0.028;483.097;2.81;64.031;0.036;303066.589;0.036;0.466;0.813;2.733;1812.65;0.169;308.337;178.993;58.271;0.074;2303.89;1.171;492.302;0.862;484.171;0;1.137;465.53;0.239;1041.609;11.632;0.871;5.421;310787.968;OK
SP_H_Met_1;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_2;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_3;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_4;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_5;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_6;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_7;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_8;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_9;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_10;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_11;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_12;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_13;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_14;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
SP_H_Met_15;4;SP_H;SP;Hiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Pas de prélèvements
